Brand,Model_Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,46,2,2003,80000,1,1,3,12.8,1489,35.5,5,1.35
1,9,2,2014,79271,1,0,0,20.38,1968,143,5,16.5
1,9,4,2017,22000,1,0,2,20.38,1968,143,5,22.5
1,9,9,2016,20003,1,0,0,20.38,1968,143,5,19.25
1,9,9,2016,39000,1,0,0,20.38,1968,143,5,18.9
1,10,3,2013,40670,1,0,2,15.2,1968,140.8,5,17.74
1,10,7,2015,13648,1,0,0,17.11,1968,174.33,5,21.43
1,10,6,2012,65664,1,0,0,16.55,1968,140,5,13.5
1,10,8,2010,30000,1,0,0,14.94,2967,241.4,5,9.8
1,10,3,2015,48214,1,0,0,17.11,1968,174.33,5,23.32
1,10,1,2013,45979,1,0,2,17.11,1968,174.33,5,19.5
1,10,4,2011,46000,1,0,2,16.55,1968,147.51,5,10.99
1,10,8,2012,47346,1,0,0,16.55,1968,147.51,5,14.5
1,10,0,2011,59000,1,0,0,16.55,1968,140,5,12.5
1,10,8,2009,34000,1,0,0,16.55,1968,147.51,5,9.95
1,10,5,2015,45000,1,0,0,18.25,1968,187.74,5,25
1,10,7,2014,77395,1,0,0,17.11,1968,174.33,5,14.35
1,10,4,2013,36000,1,0,2,16.55,1968,147.51,5,14
1,10,3,2016,68193,1,0,0,17.11,1968,174.33,5,24.74
1,10,1,2014,21000,1,0,0,17.11,1968,174.33,5,24.5
1,10,4,2012,60000,1,0,2,15.2,1968,140.8,5,10.35
1,10,3,2012,46913,1,0,0,14.94,2967,241.4,5,16.11
1,10,7,2013,45330,1,0,0,16.55,1968,147.51,5,13.19
1,10,2,2014,70000,1,0,0,17.11,1968,174.33,5,18
1,10,0,2013,82002,1,0,2,16.55,1968,147.51,5,17.5
1,10,4,2012,44555,1,0,0,15.2,1968,140.8,5,13.5
1,10,4,2013,67000,1,0,0,16.55,1968,147.51,5,14.5
1,10,1,2014,24000,1,0,0,17.11,1968,174.33,5,25
1,10,6,2011,105000,1,0,2,16.55,1968,140,5,14.5
1,10,9,2013,45200,1,0,0,16.55,1968,147.51,5,13.5
1,10,5,2015,50000,1,0,0,17.11,1968,174.33,5,25
1,10,9,2011,38000,4,0,0,10.8,1984,132,5,12
1,10,5,2014,60000,1,0,0,16.55,1968,147.51,5,24
1,10,10,2013,87000,1,0,0,17.11,1968,174.33,5,15.5
1,10,5,2011,85000,1,0,0,16.55,1968,147.51,5,13.95
1,10,2,2016,11000,1,0,0,17.11,1968,174.33,5,28
1,10,3,2016,39644,1,0,0,17.11,1968,174.33,5,25.75
1,10,3,2015,21979,1,0,0,17.11,1968,174.33,5,23.45
1,10,3,2014,57773,1,0,2,17.11,1968,174.33,5,20.04
1,10,8,2010,38001,4,0,0,12.3,1781,163.2,5,8.5
1,10,5,2014,53000,1,0,0,16.55,1968,140,5,20.5
1,10,3,2015,32205,1,0,0,17.11,1968,174.33,5,25.31
1,10,7,2017,61221,4,0,0,17.84,1395,147.51,5,21.73
1,10,4,2012,69000,1,0,2,15.2,1968,140.8,5,10.25
1,10,8,2013,60001,1,0,0,17.11,1968,174.33,5,14.5
1,10,9,2011,53000,4,0,0,12.3,1781,163.2,5,9.5
1,10,1,2014,40000,1,0,0,17.11,1968,174.33,5,22.5
1,10,0,2012,74002,1,0,0,16.55,1968,140,5,18.5
1,10,3,2016,39237,1,0,0,17.11,1968,174.33,5,25.64
1,10,6,2012,60000,1,0,2,15.2,1968,140.8,5,16
1,10,4,2010,59000,1,0,0,16.55,1968,140,5,10
1,10,8,2014,40000,1,0,0,17.11,1968,174.33,5,17.5
